categorie,rang,favoris_par_jour,favoris,age_jours,prix,marque,etat,titre,url
Sport › Sports d'hiver,15,32.2,19,0.59,17.8,,Très bon état,Lunettes sport futuristes noir/rose – style cyclisme,https://www.vinted.fr/items/9708002419-lunettes-sport-futuristes-noirrose-style-cyclisme
Électronique › Téléphones portables et équipements de communication,1,416.7,250,0.6,410.0,Apple,Très bon état,Iphone 15 128GB Rose [Garantía],https://www.vinted.fr/items/9662613211-iphone-15-128gb-rose-garantia
Électronique › Téléphones portables et équipements de communication,2,160.0,80,0.45,320.0,Apple,Très bon état,Iphone 15,https://www.vinted.fr/items/9710536162-iphone-15
Électronique › Téléphones portables et équipements de communication,3,128.0,325,2.54,200.0,Apple,Bon état,iPhone 13 128gb,https://www.vinted.fr/items/9688090487-iphone-13-128gb
Électronique › Téléphones portables et équipements de communication,4,104.0,52,0.33,35.0,Apple,Bon état,iPhone 6s + écouteurs 🎧🍵,https://www.vinted.fr/items/9712731611-iphone-6s-ecouteurs
Électronique › Téléphones portables et équipements de communication,5,96.5,55,0.57,3.0,Shein,Neuf avec étiquette,Lot de 3 ventouse pour téléphone,https://www.vinted.fr/items/9708246104-lot-de-3-ventouse-pour-telephone
Électronique › Téléphones portables et équipements de communication,6,85.3,122,1.43,30.0,Apple,Bon état,iPhone 5s,https://www.vinted.fr/items/9700032939-iphone-5s
Électronique › Téléphones portables et équipements de communication,7,84.0,42,0.3,15.0,BlackBerry,Très bon état,Blackberry,https://www.vinted.fr/items/9713177176-blackberry
Électronique › Téléphones portables et équipements de communication,8,78.0,39,0.48,30.0,Vintage Chic,Très bon état,Téléphone fixe vintage looney tunes Titi,https://www.vinted.fr/items/9709852904-telephone-fixe-vintage-looney-tunes-titi
Électronique › Téléphones portables et équipements de communication,9,78.0,39,0.31,420.0,Apple,Bon état,iPhone 16 128Gb Space Grau - 100% - OVP - Ladekabel,https://www.vinted.fr/items/9713093657-iphone-16-128gb-space-grau-100-ovp-ladekabel
Électronique › Téléphones portables et équipements de communication,10,75.8,50,0.66,50.0,Apple,Très bon état,iPhone 5s Space Gray mit Kopfhörern und Verpackung,https://www.vinted.fr/items/9706880832-iphone-5s-space-gray-mit-kopfhorern-und-verpackung
Électronique › Téléphones portables et équipements de communication,11,75.8,116,1.53,75.0,Nokia,Très bon état,Nokia 9300 Communicator Funzionante,https://www.vinted.fr/items/9591888034-nokia-9300-communicator-funzionante
Électronique › Téléphones portables et équipements de communication,12,74.3,81,1.09,20.0,Apple,Très bon état,Iphone 5s iCloud Locked,https://www.vinted.fr/items/9704446907-iphone-5s-icloud-locked
Électronique › Téléphones portables et équipements de communication,13,61.0,50,0.82,490.0,Apple,Très bon état,Iphone 15 pro bleu,https://www.vinted.fr/items/9705162407-iphone-15-pro-bleu
Électronique › Téléphones portables et équipements de communication,14,57.6,38,0.66,20.0,Apple,Satisfaisant,iPhone 6,https://www.vinted.fr/items/9706904796-iphone-6
Électronique › Téléphones portables et équipements de communication,15,54.0,27,0.24,45.0,Deane & White,Très bon état,Téléphone portable,https://www.vinted.fr/items/9714089327-telephone-portable
Femmes › Accessoires,1,358.0,179,0.42,19.9,Quartz,Très bon état,Silver Wrap Bracelet Watch with Rhinestones – Elegant Stretch Cuff Design,https://www.vinted.fr/items/9711083732-silver-wrap-bracelet-watch-with-rhinestones-elegant-stretch-cuff-design
Femmes › Accessoires,2,315.8,180,0.57,15.0,Quartz,Neuf sans étiquette,Montre ajustable et inoxydable avec pile incluse,https://www.vinted.fr/items/9708220532-montre-ajustable-et-inoxydable-avec-pile-incluse
Femmes › Accessoires,3,308.0,154,0.35,18.0,Source Unknown,Neuf avec étiquette,Press on bleu reutilisable,https://www.vinted.fr/items/9712350862-press-on-bleu-reutilisable
Femmes › Accessoires,4,276.0,138,0.41,17.9,,Neuf avec étiquette,Collier en Y maille marine doré neuf groan de café,https://www.vinted.fr/items/9711165758-collier-en-y-maille-marine-dore-neuf-groan-de-cafe
Femmes › Accessoires,5,224.0,112,0.43,4.0,Vintage Dressing,Très bon état,Gürtel,https://www.vinted.fr/items/9710785191-gurtel
Femmes › Accessoires,6,205.1,121,0.59,30.0,Meller,Neuf avec étiquette,Lunettes de soleil Meller,https://www.vinted.fr/items/9708000003-lunettes-de-soleil-meller
Femmes › Accessoires,7,188.0,94,0.3,2.0,Accessoires,Très bon état,Lot bracelets,https://www.vinted.fr/items/9713227950-lot-bracelets
Femmes › Accessoires,8,184.0,92,0.27,6.0,,Très bon état,Jonc thaï bleu turquoise doré acier inoxydable,https://www.vinted.fr/items/9713028488-jonc-thai-bleu-turquoise-dore-acier-inoxydable
